event_id,timestamp,username,action,resource,outcome,source_ip,severity,category,description
1,2026-08-01 01:02:00,a.smith,ACCOUNT_LOCKED,VPN_Appliance,Success,185.220.101.3,High,Brute Force,Account locked after repeated authentication failures.
2,2026-08-01 01:59:00,a.smith,LOGIN_FAILED,VPN_Appliance,Failure,45.33.24.110,High,Brute Force,Repeated failed login attempts observed for this account.
3,2026-08-01 06:24:00,a.smith,ACCOUNT_LOCKED,VPN_Appliance,Success,185.220.101.3,High,Brute Force,Account locked after repeated authentication failures.
4,2026-08-01 00:20:00,a.smith,LOGIN_FAILED,VPN_Appliance,Failure,45.33.24.110,High,Brute Force,Repeated failed login attempts observed for this account.
5,2026-08-01 04:23:00,a.smith,LOGIN_FAILED,VPN_Appliance,Failure,45.33.24.110,High,Brute Force,Repeated failed login attempts observed for this account.
6,2026-08-01 05:37:00,t.brown,ACCOUNT_LOCKED,VPN_Appliance,Success,45.33.24.110,High,Brute Force,Account locked after repeated authentication failures.
7,2026-08-01 05:06:00,t.brown,LOGIN_FAILED,VPN_Appliance,Failure,45.33.24.110,Critical,Brute Force,"Multiple failed logins from an external IP, possible brute-force attack."
8,2026-08-01 06:02:00,t.brown,LOGIN_FAILED,VPN_Appliance,Failure,185.220.101.3,High,Brute Force,Repeated failed login attempts observed for this account.
9,2026-08-01 01:24:00,a.smith,LOGIN_FAILED,VPN_Appliance,Failure,185.220.101.3,Critical,Brute Force,"Multiple failed logins from an external IP, possible brute-force attack."
10,2026-08-01 00:52:00,t.brown,LOGIN_FAILED,VPN_Appliance,Failure,45.33.24.110,High,Brute Force,Repeated failed login attempts observed for this account.
11,2026-08-01 07:18:00,t.brown,LOGIN_FAILED,VPN_Appliance,Failure,185.220.101.3,Critical,Brute Force,"Multiple failed logins from an external IP, possible brute-force attack."
12,2026-08-01 06:18:00,t.brown,LOGIN_FAILED,VPN_Appliance,Failure,45.33.24.110,High,Brute Force,Repeated failed login attempts observed for this account.
13,2026-08-01 00:45:00,t.brown,LOGIN_FAILED,VPN_Appliance,Failure,185.220.101.3,Critical,Brute Force,"Multiple failed logins from an external IP, possible brute-force attack."
